272,"Baby Take a Bow",1934,2,"Fox Film Corporation"
2342,"Last Ride, The",1944,4,"Warner Bros."
2634,"Matter of Life and Death, A",1946,2,"The Archers"
3992,"Strangers on a Train",1951,2,"Warner Bros."
2965,"Notre Dame de Paris",1956,2,"Panitalia"
3084,"Outside the Law",1956,4,"Universal International Pictures (UI or U-I)"
2244,"King Creole",1958,2,"Paramount Pictures"
1578,"G.I. Blues",1960,2,"Paramount Pictures"
3229,"Plein soleil",1960,3,"Paritalia"
4589,"Wild Ride, The",1960,3,"Filmgroup"
489,"Blue Hawaii",1961,2,"Paramount Pictures"
4462,"Voyage to the Bottom of the Sea",1961,2,"20th Century Fox"
1639,"Girls! Girls! Girls!",1962,2,"Hal Wallis Productions"
1568,"Fun in Acapulco",1963,2,"Hal Wallis Productions"
3518,"Roustabout",1964,2,"Hal Wallis Productions"
1109,"Doctor Zhivago",1965,3,"Metro-Goldwyn-Mayer (MGM)"
528,"Born Free",1966,2,"Atlas"
1390,"Fantastic Voyage",1966,2,"20th Century Fox"
3297,"Professionals, The",1966,3,"Columbia Pictures Corporation"
3561,"Sand Pebbles, The",1966,3,"20th Century Fox"
3619,"Seconds",1966,4,"Joel Productions"
4289,"Trouble with Angels, The",1966,2,"Columbia Pictures Corporation"
4583,"Wild Angels, The",1966,4,"American International Pictures (AIP)"
1208,"Easy Come, Easy Go",1967,2,"Paramount Pictures"
598,"Brotherhood, The",1968,3,"Brotherhood Company"
3953,"Stay Away, Joe",1968,2,"Metro-Goldwyn-Mayer (MGM)"
3099,"Paint Your Wagon",1969,3,"Paramount Pictures"
4515,"Wedding Party, The",1969,4,"Oudine Productions"
4657,"Wrecking Crew, The",1969,2,"Claude Productions"
40,"A.K.A. Cassius Clay",1970,2,"Sports of the Century"
173,"Angel Levine, The",1970,3,"Belafonte Enterprises"
175,"Angel Unchained",1970,3,"American International Pictures (AIP)"
841,"Count Yorga, Vampire",1970,3,"American International Pictures (AIP)"
897,"Cry of the Banshee",1970,4,"American International Pictures (AIP)"
1088,"Dirty Dingus Magee",1970,3,"Metro-Goldwyn-Mayer (MGM)"
1191,"Dunwich Horror, The",1970,4,"American International Pictures (AIP)"
1236,"Elvis: Thats the Way It Is",1970,2,"Metro-Goldwyn-Mayer (MGM)"
1692,"Great White Hope, The",1970,3,"20th Century Fox"
